,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
132,F.N,"Lil Tjay",299914,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
133,VALENTINO,24kGoldn,299854,https://open.spotify.com/track/6piAUJJQFD8oHDUr0b7l7q
134,"DTB 4 Life","A Boogie Wit da Hoodie",297649,https://open.spotify.com/track/4CXSzoyTD2MmedFArsSIUp
135,"Hot (Remix) [feat. Gunna and Travis Scott]","Young Thug",297478,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m
136,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",294982,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
137,"Hit 'Em Up (feat. Trap Manny)","A Boogie Wit da Hoodie",294507,https://open.spotify.com/track/7ExiKb3YCTGpaLPtFKzYUk
138,"The London (feat. J. Cole & Travis Scott)","Young Thug",292540,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
139,"Heartless (feat. Morgan Wallen)",Diplo,290848,https://open.spotify.com/track/0rFQ5cKYJ9WtHSKp9sxVYt
140,Maniac,"Conan Gray",290310,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
141,"7 rings","Ariana Grande",290071,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
142,Lalala,Y2K,288004,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
143,"Another Day Gone (feat. Khalid)","A Boogie Wit da Hoodie",285113,https://open.spotify.com/track/63dg6LdBGxa0QA93M2snLA
144,"It Might Be Time","Tame Impala",283694,https://open.spotify.com/track/558ubozatFQlweufvHa3Ip
145,"I Fall Apart","Post Malone",282898,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
146,"I Don't Care (with Justin Bieber)","Ed Sheeran",282522,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
147,"All I Want - From ""High School Musical: The Musical: The Series""","Olivia Rodrigo",282284,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
148,"Knocked Off","YoungBoy Never Broke Again",280570,https://open.spotify.com/track/3a0Wh4w8gkib4KRfWGfG0P
149,"Good as Hell (feat. Ariana Grande)",Lizzo,278955,https://open.spotify.com/track/2rjjNUYONZqC7wSd1i6OFq
150,"Armed And Dangerous","Juice WRLD",278543,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
151,"Beautiful Crazy","Luke Combs",278032,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
152,"Reply (feat. Lil Uzi Vert)","A Boogie Wit da Hoodie",277363,https://open.spotify.com/track/1njRzdfGNUY2RZU0lVO787
153,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",276083,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
154,"Whiskey Glasses","Morgan Wallen",275398,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
155,Panini,"Lil Nas X",275372,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
156,"One Man Band","Old Dominion",275121,https://open.spotify.com/track/08dFHFTx6r67MTsYn5ilDR
157,"Better Now","Post Malone",274473,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
